benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6406700 ns/op	   0.22 MB/s	        10.00 records/op	   14880 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/10-outstanding/snappy/sarama-16             	      50	   6213682 ns/op	   0.23 MB/s	        10.00 records/op	   14864 B/op	     192 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6596974 ns/op	   2.14 MB/s	       100.0 records/op	  144430 B/op	    1464 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6420520 ns/op	   2.20 MB/s	       100.0 records/op	  143093 B/op	    1464 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6379678 ns/op	   2.21 MB/s	       100.0 records/op	  145950 B/op	    1464 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6397847 ns/op	   2.20 MB/s	       100.0 records/op	  140166 B/op	    1463 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6333395 ns/op	   2.23 MB/s	       100.0 records/op	  146788 B/op	    1464 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6222892 ns/op	   2.27 MB/s	       100.0 records/op	  137956 B/op	    1463 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6248681 ns/op	   2.26 MB/s	       100.0 records/op	  142939 B/op	    1463 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6221555 ns/op	   2.27 MB/s	       100.0 records/op	  143536 B/op	    1464 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6240272 ns/op	   2.26 MB/s	       100.0 records/op	  140376 B/op	    1463 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6302402 ns/op	   2.24 MB/s	       100.0 records/op	  141155 B/op	    1463 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6252823 ns/op	   2.25 MB/s	       100.0 records/op	  142824 B/op	    1464 allocs/op
BenchmarkEquivalentAsynchronousProduce/keyed/128B/100-outstanding/none/golib-policy-16        	      50	   6286378 ns/op	   2.24 MB/s	       100.0 records/op	  145313 B/op	    1464 allocs/op
