goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  201280	       535.3 ns/op	48011.77 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  448960	       580.0 ns/op	44312.16 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  248809	       403.9 ns/op	63632.88 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  445399	       399.2 ns/op	64375.51 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  451644	       433.6 ns/op	59277.95 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  411993	       377.4 ns/op	68103.15 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/transport-floor-16        	  334002	       370.1 ns/op	69436.32 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    6121	     20617 ns/op	1246.56 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    5923	     22091 ns/op	1163.38 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    5658	     21401 ns/op	1200.85 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    5542	     21577 ns/op	1191.09 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    6090	     21675 ns/op	1185.67 MB/s	   64328 B/op	     713 allocs/op
